ID,Average User Rating,User Rating Count,Price,In-app Purchases,Age Rating,Languages,Size,Genres,Number of Languages,Number of Genres,In-App Purchase Present
288689440,3.5,989.0,0.99,,4+,EN,3643392.0,"Games, Puzzle, Strategy",1,3,Y
292538570,3.5,72428.0,0.0,,9+,EN,55071744.0,"Games, Entertainment, Strategy, Board",1,4,Y
295445501,4.0,3062.0,7.99,,4+,"EN, FR, DE, JA, KO, ZH",7517184.0,"Games, Board, Entertainment, Strategy",6,4,Y
296756437,3.5,5488.0,0.99,,4+,"EN, FR, DE, JA, KO, ZH",5874688.0,"Games, Strategy, Entertainment, Board",6,4,Y
298748403,3.5,5931.0,0.0,,9+,EN,7705600.0,"Games, Strategy, Entertainment, Action",1,4,Y
299813413,4.0,5629.0,4.99,,9+,"DA, NL, EN, FR, DE, IT, NO, NB, PT, ES, SV",93993984.0,"Games, Strategy, Board, Entertainment",11,4,Y
305324342,3.0,4885.0,3.99,"9.99, 9.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99",9+,EN,59016192.0,"Games, Board, Strategy",1,3,N
311456818,3.5,14073.0,0.0,"9.99, 2.99, 4.99, 19.99, 5.49, 23.49, 49.99, 36.99, 13.99, 99.99",9+,"AR, ZH, CS, EN, FR, DE, IT, JA, PL, PT, RU, ES, TR",115074048.0,"Games, Entertainment, Strategy, Role Playing",13,4,N
319305999,4.5,14864.0,0.0,"1.99, 7.99, 29.99, 19.99",4+,EN,47129600.0,"Games, Strategy, Board, Entertainment",1,4,N
321026028,4.5,36581.0,0.0,,4+,EN,69393408.0,"Games, Entertainment, Board, Strategy",1,4,Y
321756558,4.5,27739.0,0.0,"4.99, 9.99, 3.99, 4.99, 3.99, 9.99, 19.99, 49.99, 99.99",9+,"AR, CS, NL, EN, FR, DE, ID, IT, JA, KO, PL, PT, RU, ZH, ES, SV, TH, ZH, TR, VI",104436736.0,"Games, Entertainment, Strategy, Role Playing",20,4,N
327771130,3.5,776.0,0.0,,4+,"EN, FR, DE",64505856.0,"Games, Education, Puzzle, Strategy",3,4,Y
329218549,4.5,143719.0,0.0,"99.99, 6.99, 14.99, 29.99, 49.99, 4.99",4+,"AF, SQ, AR, HY, AZ, EU, BE, BN, BS, BG, CA, HR, CS, DA, NL, EN, ET, FI, FR, GL, KA, DE, EL, HE, HI, HU, IS, ID, GA, IT, JA, KN, KK, KO, LV, LT, MK, MS, NE, NB, PS, FA, PL, PT, PA, RO, RU, SR, ZH, SI, SK, SL, ES, SW, SV, TG, TA, TE, TH, ZH, TR, TK, UK, UR, UZ, VI",109671424.0,"Games, Strategy, Board, Entertainment",66,4,N
335029050,4.0,17440.0,4.99,"4.99, 9.99, 4.99, 1.99, 1.99",4+,"NL, EN, FR, DE, PT, ES",888494080.0,"Games, Board, Strategy, Entertainment",6,4,N
