Review ID,Review,Rating,Total_thumbsup
1,Keeps crashing on my s22 ultra,1,0
2,Good app Good music,5,0
3,"PREMIUM BUYERS: READ B4 U BUY Guys, the app's awesome. But: 1.There is no way to see all of the songs downloaded to ur phone. U can only see the playlists u've downloaded or partially downloaded. 2.The only way to clear space is to either delete all of ur songs or go playlist by playlist. If a song is on multiple playlists it won't delete. 3.You can't delete individual songs. This review is limited to 500 char. so I'm cut short. And offline mode is broken too. Dev email me for full report.",3,0
4,Best Music Streaming App for Android and Ios. Provides Various songs to choose from based on person's personal recommendations.......,5,0
5,Best aap to listen music,5,0
6,"I have deleted the app to reinstall it and now it will not launch anymore!! Have done the clear caches, clear data and force stopping, restarted my phone and reinstalling the app but none of them works.ð­ I have a premium.accnt and now I cannot even access it ! It gets stuck to the logo openi",1,0
7,"Extremely Poorly Optimised. Autoplays the same song always, unintuitive navigation to artist album releases etc.",1,0
8,No super awesome on android,3,0
9,It just open and crashes,1,0
10,When I put my songs on random like 2k songs. It always seems the same ones play. Been like this for a while,2,0
11,Nil,,
12,Good app for listening music.,5,0
13,I love this app but I wish we could have the option to turn off the we added part of MY playlist I'm don't want to listen to some random German song I can't understand when I'm trying to cry myself to sleep with really sad songs.,4,0
14,nil,,
15,They purposely throttle the app making it unbearable and a waste of time to use unless you have premium. Genuine disgusting business practice.,1,0
16,Worst Everytime I open it I can't play any song It says no internet connection even when I am connected to internet. It only works when my phone is connected to WiFi. That's not good at all,1,0
17,"This app is great in so many ways. But Jesus does it glitch. There's so many loading issues that have been going on for months, even when you're offline but have downloaded music, it loads very slow or doesn't at all. Extremely annoying when you pay for your plan and it doesn't even function correctly. Please fix the bugs!!!!",3,1
18,"this app is getting more and more annoying, I can't even open the thing, it's just getting stuck on the damn loading screen, I waited for hours last night seeing if it would load, but nope. Fix your damn app",1,0
19,Too much add its to irritating,1,0
