unique_hash,text,drug
918f23f517e067135b5c3d428b0c45e198ab145b,I have had a real eye opener about my diet because of doing this fecal fat test that requires 100 mg of fat intake for 5 days I have tended to snack on things like pretzels and rice cakes and up until very recently did not have the added fat of dairy I normally feel like giving myself grace on things but this week its driving me nuts I have always been petite and I almost have a double chin but have stick legs and arms Having a hard time loving myself right now 36yr old mother of 3 Moderate Pancolitis 1317 Hosp 1 week on Solumedrol Delzicol Apriso pred then switched to Balsazide 750 mg and Uceris 9 mg 3 wks Minor flare in August flare since Oct 20 Acute pancreatitis from Balsalazide hosp 2 days Started Humira 121517 reaction Entyvio 11218 40 mg of Pred still waiting for a change,entyvio
ac8313eecf6efa01601d2016d1abade39ba5cf32,I am sure that evil doctors in bed with pharmaceutical companies makes sensational conspiracy theories or headlines I think the reality is thats not likely and its a lot more boring and based on verification and guidelines As I said biologics arent first line treatments I believe patient need disease severity and a patient being unresponsive to lesser treatments are a much stronger precursor to being prescribed a biologic Insurance companies have protocols and procedures to ensure that other medications are tried first Endoscopes before and after treatment are used as qualifiers etc Im sure theres the occasional bad egg out there outliers but the vast majority of doctors have their patients needs at heart Severe nonresponsive cases do warrant fast medication escalation Milder cases do not NIH in the UK is a very different nationally run system that gives individual practices much more overhead and regulations Newer medications are approved more slowly in the UK than usa take entyvio as an example Same goes for newer equipment and procedures Id say usa has quicker access to new treatments ideas and processes The disadvantage is the usa cost and without thorough vetting some new methodologies may not be any better just wasteful The NIH is certainly more cautious Both systems have pros and cons However neither system is full of people with little regard to patient outcomes Moderator Ulcerative Colitis John  37 UC in histological remission Rx Remicade 5mgskg8wks Words containing UC both literally and figuratively sUCk ouch deuce mucus fed lucifer and luck Post Edited iPoop  3302016 110639 AM GMT6,entyvio
92d3e663d5e39f31deb9caaa943a62d32b4a2d02,before you had said if the scope was bad theyd talk about going from 40mgs to 80mgs weekly on the Humira or switch you to entyvio Any further discussion or decision regarding those options Moderator Ulcerative Colitis John  40 UC Proctosigmoiditis Rx Remicade 5mgskg6wks daily 75mgs 6MP 48g genericLialda and rowasa But you dont look sick Trust me if I looked like I feel then everyone would run out of here scared within an inch of life,entyvio
fd958602933a9992409b75d384014617c8093761,Arsenic Heck id drink it at this point I just shoved nitroglycerin up my ass to stop me from screaming with this abscess Hope it works for you Keep us updated female Canada IVIG pentasa 6 Entyvio infusionsno response discontinued UCCrohns  tested positive for MAP antibodies  mycobacterium PG remission Flaring for almost 3 yearsin a bad way due to 5 abx treatment gone very wrong Sigh,entyvio
30ef15a1cdc6946cf3a65b5ef1afd166309d4bdf,Ive been following your posts the whole time I think you can trust yourself about next steps given all youve been through Its terrible that youve had this ongoing ordeal for so long I commend you for making decisions and managing with all thats unfolded as best you can Theres a shift in mindset at some point if possible for you to put the suffering behind you You are not damaged if you choose to get rid of the jpouch as I see it You gave it its best shot Time to choose life  if you are at that point  a new chapter where you can live forward with so many opportunities ahead and much joy for you You have shown tremendous fortitude every step of the way It will forever make you more compassionate with others who are struggling with their own hardships and will deepen the gratitude you have in your life Just my opinion about whats ahead for you  and sending optimism and much support  as well as my respect and admiration for all youve endured at such a young age UC for 15 yrs For flares I use Cortenemas Prednisone Allergic to mesalamines hives fever 6mp fever Remicade stopped after 6 mos due to joint pains AntiTNF Induced Lupus neuropathy On Entyvio since Oct 2015 so far ok,entyvio
2713b5001e441d7a13756eb8dafae5f0ce78ffb8,Unfortunately insurance decides what meds we take and in what order You might need to try remicade or humira 1st and they do have much much quicker response times than entyvio does All of those meds do have patientcopay assistance cards from the manufacturer Our uc severity determines what meds work and at what doses not work Id wager this flare is just a whole lot more severe than past ones for you were IV steroids are sometimes needed Just make sure youre tested recently for pathogenic causes like c diff as not responding to steroids often is red flag to verify its not an infection infections are worsened by steroids not helped Hang in there it does get better Post Edited iPoop  6162017 95407 AM GMT6,entyvio
965ecdbf6adef73852e4a50a94cb485f92d6622c,Antibodies arent a foregone conclusion with biologics Some never get antibodies to a biologic even without concurrent immunomodulator therapy Some get antibodies quickly with the best concurrent immunomodulator therapy I believe the highest odds of antibody formation is early on in the biologic treatment if its already been years and you havent already got antibodies then you likely wont get them Its easy to test for antibodies and unless they become a problem then theres no reason to discontinue a med Remicadeinfliximab is the oldest ucapproved biologic and its 75 percent human protein and 25 percent mouse protein As such its generally a little higher odds of antibody formation than the rest The rest are 100 percent human and some like entyvio dont even recommend immunomodulators concurrent with treatment with current clinical guidelines Even in the worst case scenario of antibodies drug doses can be increased to counter act in many cases And antibody formation to one medication doesnt predispose one to always developing antibodies to every medication Its isolated to one med Some food for thought at least and I wouldnt fixate on antibodies Moderator Ulcerative Colitis John  38 in a minor flare UC Proctosigmoiditis Rx Remicade 5mgskg8wks 50mgs 6MP 48g Lialda 20mgs pred With UC Ive become a poopninja sly and sightunseen doing what having insane urgency demands Post Edited iPoop  9192016 114922 AM GMT6,entyvio
a8944c1dda45c6389c8e338e9ad2a261ca5a3656,UPDATE I saw IBD Specialist yesterday for my first followup after my colonoscopy on May 2nd 3 weeks ago Let me rewind and say that I have been stressing about this appointment afraid IBD Specialist would give me options I didnt like and then bully me to pick one I have been waiting for test results and honestly looking more and more at surgery I tried to drop from 40mg to 35mg prednisone last Monday and it was awful I had horrible withdrawal symptoms and started bleeding That was very defeating and I knew it was a bad sign I went back up to 40mg and stabilized Actually not doing too badhaving BMs every day this requires dulcolax though and not too much blood My tenesmus is much better and I havent taken any bentyl in over a week Im still fatigued but managing to live my life despite italbeitmy house is messy because somethings gotta give Its great that my symptoms have improved but since Im dependent on the prednisone  humira  cortifoam it really cant be considered a win Here are things we considered when discussing my treatment plan 1 I am TPMT normal and CAN metabolize 6MP  Imuranso these drugs became an option for me 2 I do not have antibodies to HumiraBUT 3 My Humira serum levels were very low they were 2 and IBD Specialist crinkled her nose and said Thats not doing anything for you 4 Because my Humira levels are so low I wouldnt have to wait any amount of time to start a new biologic if thats what we decided 5 So here are the options we discussed A Humira  Imuran B Remicaid  Imuran if I dont have antibodies C Stelara  Imuran D Entyvio  Imuran E Diverting colostomy temp until I heal F Permanent colostomy We discussed the pros and cons of each treatment I waited patiently for IBD Specialist to finish making her flow chart and explaining everything to me before I asked questions and gave input My first question was Am I a candidate for a jpouch And I knew her answer would be No which was correct I immediately eliminated the option of a diverting colostomy stating that if I was going to do surgery then I would choose the permanent surgery since thats ultimately what I want Though I am disappointed that the jpouch is not an option I was happy when IBD Specialist said that surgery IS a very good option for me Since I have never shown inflammation outside the colon she said the chances of me developing disease elsewhere is maybe 2 and that after surgery I would not need to take any meds anymore Woot Ultimately I want a medfree diseasefree life so that is very encouraging I could live the life I want to live with an ostomybarring complications But Im not ready for surgery yet I told her Ive been researching and reading peoples stories and Im encouraged because even people who have complications tend to be happy they had the surgery I was afraid of recovery time but I see that most people feel better immediately and are active within a week or so after surgery However Im having trouble getting excited about it I want to feel good about it but Im still struggling to imagine life with an ostomy and I am scared of complicationsif it didnt turn out the way I planned IBD Specialist totally understood I told her I like the Humira because I do think it has helped meI was much worse on steroids aloneand I like that I have no side effects I have been wanting to try adding 6MPImuran to see if that can help me wean from the prednisone So Humira  Imuran is my first choice She said ok no problem We eliminated Remicaid altogether because my response to it wasnt that goodI still had to use Rowasa enemas If the Humira  Imuran doesnt allow me to get off prednisone we chose Stelara  Imuran as my next drug therapy mostly because Stelara works more quickly than Entyvio But I am considering just going straight to an ostomy if the Humira  Imuran fails It really just depends on how things go Something clicked during this visit When I got in my car to leave I didnt cry or feel scared or confused I felt relieved Because surgery isnt sounding so bad I am starting to have a positive vision of my life with an ostomy My family is going on vacation from June 410th and I asked her to keep things stable until I returned because I want to enjoy it IBD Specialist said Of course and told me to just add the Imuran but dont worry about dropping the prednisone until I get back I appreciated that I will have blood drawn for monitoring on June 2nd and then I will see IBD Specialist on June 16th and have blood drawn again I need to get a flu shot and a pneumonia vaccination I am nervous about getting on a plane and also going to Disneyland remember the measles outbreak while on 40mg prednisone  humira  imuran On the other handmy immune system is relentless and Im physically pretty strong right now so chances are good that I will be fine But any suggestions on how to stay healthy while traveling are appreciated So what do you think guys 37yr female dx UC 04 dx changed Crohns Colitis 17 Currently Humira Apriso Uceris foam enema Prednisone Buproprion Synthroid Started Humira Feb 4 2017 now 40mgweek Previously failed Remicaid Previously used Asacol Lialda Delzicol Pentasa Cortenema Rowasa Canasa Entocort and Uceris Im Glutenfree Supps VSL3 CalMag Vit D Krill oil EZFE iron,entyvio
07c6c9ef05f33d5fc489aed446fc807ecda53e75,Great news Congrats on the baby girl So happy you are doing so well UC pancolitis DX March 2016 Partial Colectomy for diverticulitis Sept 2014 Apriso 375 g x 4day Canasa  Uceris foam as needed Supplements Zinc Lglutamine Probiotics Reuteri pearls VSL 3 Folic Acid CoQ10 turmeric boswellia milk thistle NAC reservatol colostrum glycine Started Entyvio 32917 Constant flares since March 2016 only relieved by Prednisone IN REMISSION,entyvio
a968821ff849f6df41384d41b0d82609633d4230,Good to hear I hope this med will bring you of the dreaded steroid Best of luck to you 39 Year Old Female  Diagnosed with UC at age 12 Was in remission on Entyvio and Imuran Combo DCd Imuran and flared after 6 months Currently in moderateSevere flare and have failed EntyvioremicadeSteroid refractivetacrolimuslialdauceris Current meds Cortifoam x 2 per day Xeljanz  Just starting Daily  probiotic VSL3,entyvio
